"","m.z","p.value","t.score","r.t"
"1",177.03954,2.4358e-07,4.17,21.278
"2",179.05501,2.69459e-07,4.33,10.643
"3",179.05503,2.70918e-07,4.26,10.64
"4",353.0358,5.47575e-07,5.49,19.041
"5",211.08151,5.83646e-07,5.72,4.152
"6",328.15066,6.09368e-07,4.06,21.27
"7",243.06133,9.80664e-07,3.67,10.66
"8",167.01967,1.03661e-06,6.46,19.041
"9",169.08576,1.13541e-06,6.13,19.047
"10",196.02496,1.43214e-06,2.97,4.109
"11",173.00787,1.43849e-06,4.78,4.109
"12",132.01161,1.45846e-06,5.16,3.05
"13",132.01162,1.67538e-06,3.8,21.26
"14",305.04805,1.87357e-06,2.46,4.104
"15",241.08208,2.09295e-06,1.64,4.099
"16",177.02151,2.16484e-06,4.47,4.037
"17",695.33221,2.24411e-06,2.52,4.111
"18",407.11725,2.73739e-06,5.66,2.824
"19",124.00603,2.75407e-06,2.04,11.352
"20",96.95948,2.86797e-06,3.43,3.764
"21",101.02319,2.92366e-06,4.42,21.271
"22",117.018,3.21698e-06,5.14,10.408
"23",257.05382,3.44307e-06,5.24,19.041
"24",199.96912,3.63566e-06,2.7,4.126
"25",150.02219,4.03672e-06,1.57,11.327
"26",150.02221,4.42921e-06,5.09,19.056
"27",137.02318,4.59853e-06,1.44,11.334
"28",181.99063,6.08189e-06,2.91,10.659
"29",261.00667,6.33652e-06,4.11,4.139
"30",197.02417,6.88942e-06,1.62,11.32
"31",219.02915,7.74999e-06,5.12,19.052
"32",219.0293,8.1975e-06,3.02,10.662
"33",243.06131,8.41911e-06,3.37,10.648
"34",433.11275,9.90349e-06,3.03,2.834
"35",442.11711,1.02295e-05,3.15,12.521
"36",225.0871,1.25617e-05,2.85,13.37
"37",210.02746,1.32528e-05,1.67,11.284
"38",157.00554,1.45553e-05,4.29,10.416
"39",192.06543,1.47876e-05,1.7,4.172
"40",236.97648,1.49037e-05,3.29,3.75
"41",135.0651,2.21671e-05,2.35,3.777
"42",218.10237,2.31107e-05,3.62,10.391
"43",131.00916,2.47962e-05,2.47,10.645
"44",131.00916,2.62718e-05,2.6,10.704
"45",155.00985,2.67119e-05,1.3,4.232
"46",155.00985,2.67279e-05,3.22,2.909
"47",146.04461,2.7337e-05,2.62,1.623
"48",213.14861,2.87286e-05,3.11,12.528
"49",315.07286,2.89084e-05,4.32,10.416
"50",253.1436,3.03837e-05,3.36,15.712
"51",284.03405,3.14738e-05,3.38,3.498
"52",302.13503,3.56862e-05,1.91,11.318
"53",324.97814,3.69533e-05,1.69,4.161
"54",324.09284,3.95255e-05,3.34,10.426
"55",308.098,3.99287e-05,3.36,2.853
"56",220.08192,4.03824e-05,3.87,2.503
"57",300.04821,4.72666e-05,2.08,11.184
"58",300.04821,5.6597e-05,3.08,10.38
"59",156.06539,5.95705e-05,2.72,12.443
"60",174.03952,7.30967e-05,3.77,4.382
"61",130.04969,7.67565e-05,3.85,19.048
"62",187.07123,7.71976e-05,2.34,12.483
"63",288.03368,8.54472e-05,2.67,9.924
"64",214.90735,8.75077e-05,2.32,10.412
"65",214.90744,9.83404e-05,2.89,1.624
"66",239.02196,9.95003e-05,3.55,11.316
"67",131.03375,0.000124614,2.79,12.426
"68",193.07079,0.00012746,1.51,4.126
"69",94.98046,0.000146435,2.88,10.614
"70",121.04942,0.00015065,1.63,11.345
"71",297.04625,0.000152281,1.66,11.36
"72",199.01671,0.000159317,2.95,4.193
"73",199.01678,0.000164332,2.68,15.717
"74",343.12378,0.000180916,2.75,21.275
"75",135.02856,0.000186708,1.22,11.331
"76",135.02859,0.000189105,2.23,3.818
"77",269.05071,0.000195522,3.13,11.96
"78",269.05076,0.000196894,3.09,4.083
"79",146.04462,0.000198563,1.86,10.675
"80",132.02895,0.000242959,3.51,10.416
"81",132.02895,0.000253926,5.11,10.529
"82",89.02398,0.000282044,2.95,2.813
"83",133.01283,0.00030871,1.53,10.683
"84",133.01502,0.000329538,1.73,11.334
"85",151.05999,0.000345716,1.21,11.324
"86",370.13958,0.000402329,2.4,2.669
"87",165.01816,0.000410704,2.39,1.676
"88",312.17121,0.00043617,1.18,11.325
"89",347.03907,0.000451631,1.5,10.428
"90",178.04977,0.000488481,1.98,11.177
"91",129.09083,0.000503087,2.09,11.318
"92",168.98975,0.000562675,2.51,4.119
"93",168.98976,0.000589073,2.91,11.311
"94",171.00521,0.000594309,-3.42,4.761
"95",113.02313,0.000615282,2.47,1.626
"96",129.01805,0.000625391,3.13,11.789
"97",259.02151,0.000750791,2.98,3.206
"98",259.02154,0.000751899,1.92,11.332
"99",217.08195,0.00075223,1.32,11.328
"100",195.04987,0.000839514,1.13,4.203
