"","m.z","p.value","t.score","r.t"
"1",177.03954,8.26805e-12,5.61,30.068
"2",179.05501,1.70397e-11,5.25,30.086
"3",179.05503,5.69771e-11,4.44,30.057
"4",353.0358,2.94362e-10,4.32,30.108
"5",211.08151,3.14394e-10,4.52,30.048
"6",328.15066,1.05403e-09,5.06,30.049
"7",243.06133,1.23688e-08,3.98,30.073
"8",167.01967,2.79716e-08,7.85,30.073
"9",169.08576,3.64639e-07,-4.05,29.506
"10",196.02496,1.10896e-06,3.44,29.718
"11",173.00787,2.23249e-06,4.42,30.091
"12",132.01161,0.000183879,-4.81,7.278
"13",132.01162,0.000192538,-5.96,7.484
"14",305.04805,0.000596583,5.67,29.786
"15",241.08208,0.001098645,-5.04,29.62
"16",177.02151,0.001585208,0.96,4.099
"17",695.33221,0.00190273,1.07,4.172
"18",407.11725,0.002215126,5.27,30.105
"19",124.00603,0.002231328,-1.64,7.421
"20",96.95948,0.003202936,1,4.203
"21",101.02319,0.003932333,3.58,30.103
"22",117.018,0.003950255,4.05,30.131
"23",257.05382,0.004032993,-1.15,7.577
"24",199.96912,0.005091214,3.84,29.746
"25",150.02219,0.006248167,2.04,10.66
"26",150.02221,0.006647375,1.98,10.643
"27",137.02318,0.006786158,1.94,10.64
"28",181.99063,0.006824392,-3.49,7.329
"29",261.00667,0.00818479,0.87,4.161
"30",197.02417,0.008338235,0.9,4.126
"31",219.02915,0.009444037,-1.78,7.266
"32",219.0293,0.010186646,1.66,4.109
"33",243.06131,0.012228885,2.23,4.152
"34",433.11275,0.013047889,-2.63,4.761
"35",442.11711,0.015060093,1.42,4.109
"36",225.0871,0.016844094,-2.14,4.768
"37",210.02746,0.017606362,1.19,21.278
"38",157.00554,0.017615203,-1.52,7.266
"39",192.06543,0.018708392,1.02,4.104
"40",236.97648,0.019538962,0.84,11.352
"41",135.0651,0.019756956,-1.5,7.58
"42",218.10237,0.020180155,0.99,4.111
"43",131.00916,0.02071011,1.14,4.126
"44",131.00916,0.022725799,-2.27,4.789
"45",155.00985,0.025365425,1.53,10.662
"46",155.00985,0.026225301,1.05,10.428
"47",146.04461,0.027029957,-1.54,7.493
"48",213.14861,0.027793022,1.21,10.412
"49",315.07286,0.029085773,-1.53,7.431
"50",253.1436,0.029751431,1.08,21.27
"51",284.03405,0.030490302,-2.52,7.47
"52",302.13503,0.031246376,0.94,9.892
"53",324.97814,0.031380063,0.78,11.175
"54",324.09284,0.033601536,0.86,4.161
"55",308.098,0.037179555,-2.15,4.791
"56",220.08192,0.038083152,0.77,1.539
"57",300.04821,0.039227963,-2.67,4.787
"58",300.04821,0.039285413,-1.29,7.244
"59",156.06539,0.040346603,-1.48,4.777
"60",174.03952,0.044368596,-1.21,7.099
"61",130.04969,0.045319789,-2.02,4.747
"62",187.07123,0.045842103,-1.9,4.814
"63",288.03368,0.046286188,-2.08,4.784
"64",214.90735,0.046855357,0.76,11.284
"65",214.90744,0.047405805,-0.7,14.82
"66",239.02196,0.047620536,0.81,3.827
"67",131.03375,0.04801442,0.55,11.32
"68",193.07079,0.049409184,-1.95,4.775
"69",94.98046,0.050267087,-1.47,4.798
"70",121.04942,0.053456461,-1.78,4.788
"71",297.04625,0.054476646,0.98,21.26
"72",199.01671,0.054694387,-0.87,7.163
"73",199.01678,0.054991914,-1.94,4.769
"74",343.12378,0.055015036,0.23,1.505
"75",135.02856,0.055055072,-2.2,4.791
"76",135.02859,0.055428122,-2.54,4.805
"77",269.05071,0.056296742,5.35,29.783
"78",269.05076,0.057026558,0.69,7.93
"79",146.04462,0.057198181,-1.75,4.793
"80",132.02895,0.057285615,-2.38,4.785
"81",132.02895,0.057833639,-3,4.832
"82",89.02398,0.059257063,-2.93,4.85
"83",133.01283,0.062336123,0.57,11.36
"84",133.01502,0.063499993,0.46,4.232
"85",151.05999,0.065027742,-1.97,4.779
"86",370.13958,0.066126364,-2.44,4.803
"87",165.01816,0.066667117,-1.91,7.326
"88",312.17121,0.066669401,0.99,10.659
"89",347.03907,0.06742783,-2.11,4.782
"90",178.04977,0.069486455,1.41,1.671
"91",129.09083,0.069944841,1.52,10.074
"92",168.98975,0.07063946,-2.2,4.776
"93",168.98976,0.072120739,-1.44,4.779
"94",171.00521,0.07252408,-1.44,4.774
"95",113.02313,0.072847706,-2.78,4.803
"96",129.01805,0.076449247,-1.45,4.764
"97",259.02151,0.077808498,0.98,3.764
"98",259.02154,0.078874024,0.83,9.924
"99",217.08195,0.080110495,-1.15,7.485
"100",195.04987,0.080927704,-1.7,4.79
