,Pathway total,Hits.total,Hits.sig,Expected,P(Fisher),P(EASE),P(Gamma),Emp.Hits,Empirical,AdjP.Fisher,AdjP.EASE,AdjP.Gamma,Pathway Number,cpd.hits
Glycosphingolipid biosynthesis - ganglioseries,38,6,6,4.3077,0.11547,0.38765,0.0019351,8,0.08,1,1,0.1451325,P1,EC0001;EC0007;EC0009;EC00012;EC00013;EC00032
Pentose phosphate pathway,31,3,3,2.8718,0.24893,0.64011,0.003284,10,0.1,1,1,0.243016,P2,EC0001;EC0005;EC0006;EC00033
Aminosugars metabolism,69,11,11,7.8974,0.32559,0.54415,0.0044866,24,0.24,1,1,0.3275218,P3,EC0001;EC0002;EC0007;EC0009;EC00012;EC00013;EC00017;EC00018;EC00030
De novo fatty acid biosynthesis,73,2,2,2.1538,0.35846,0.78094,0.0051405,12,0.12,1,1,0.370116,P4,EC0005;EC0006;EC0001
Keratan sulfate biosynthesis,6,3,3,2.1538,0.35846,0.78094,0.0051405,13,0.13,1,1,0.370116,P5,EC0001;EC0007;EC0009
Keratan sulfate degradation,14,2,2,2.1538,0.35846,0.78094,0.0051405,21,0.21,1,1,0.370116,P6,EC0008;EC00012;EC00013
Glycerophospholipid metabolism,146,6,6,7.1795,0.40904,0.63952,0.0063566,33,0.33,1,1,0.4386054,P7,EC0001;EC0002;EC0007;EC00020;EC00021;EC00022;EC00023;EC00032
Phosphatidylinositol phosphate metabolism,48,7,7,7.1795,0.40904,0.63952,0.0063566,31,0.31,1,1,0.4386054,P8,EC0001;EC0002;EC0007;EC00016;EC00020;EC00021;EC00022;EC00023
Glycosphingolipid metabolism,56,7,7,6.4615,0.50123,0.73171,0.0094663,30,0.3,1,1,0.6342421,P9,EC0001;EC0002;EC0007;EC0008;EC0009;EC00012;EC00013
Galactose metabolism,44,6,6,5.7436,0.59901,0.81552,0.014744,44,0.44,1,1,0.6498228,P34,EC0001;EC0002;EC00025;EC00016;EC00034;EC00032
Methionine and cysteine metabolism,73,5,5,5.7436,0.59901,0.81552,0.014744,39,0.39,1,1,0.6498228,P35,EC0002;EC0005;EC0006;EC0001;EC0008;EC00036
Sialic acid metabolism,89,11,11,5.7436,0.59901,0.81552,0.014744,45,0.45,1,1,0.6498228,P36,EC0002;EC0007;EC0009;EC00012;EC00013;EC00032
Pyrimidine metabolism,69,8,7,7.8974,0.63157,0.80641,0.017194,43,0.43,1,1,0.670566,P37,EC0001;EC0002;EC0005;EC0006;EC0007;EC00014;EC00015;EC00024
Glycolysis and Gluconeogenesis,56,7,7,5.0256,0.69785,0.88612,0.023818,45,0.45,1,1,0.905084,P38,EC0001;EC0002;EC0005;EC0006;EC00016
Purine metabolism,80,6,6,5.0256,0.69785,0.88612,0.023818,43,0.43,1,1,0.905084,P39,EC0001;EC0002;EC0005;EC0006;EC00010
Valine- leucine and isoleucine degradation,66,3,3,4.3077,0.79198,0.93991,0.039485,49,0.49,1,1,1,P49,EC0001;EC0002;EC0005;EC0006
Vitamin B5 - CoA biosynthesis from pantothenate,18,3,3,4.3077,0.79198,0.93991,0.039485,49,0.49,1,1,1,P50,EC0001;EC0002;EC0005;EC0006
CoA Catabolism,11,2,2,3.5897,0.87482,0.97541,0.06642,65,0.65,1,1,1,P51,EC0002;EC0005;EC0006
Fructose and mannose metabolism,37,4,4,3.5897,0.87482,0.97541,0.06642,73,0.73,1,1,1,P52,EC0001;EC0002;EC00016
Prostaglandin formation from arachidonate,48,2,2,3.5897,0.87482,0.97541,0.06642,65,0.65,1,1,1,P53,EC0002;EC0005;EC0006
Selenoamino acid metabolism,34,2,2,3.5897,0.87482,0.97541,0.06642,65,0.65,1,1,1,P54,EC0002;EC0005;EC0006
Vitamin B1 (thiamin) metabolism,22,2,2,3.5897,0.87482,0.97541,0.06642,65,0.65,1,1,1,P55,EC0002;EC0005;EC0006
Aspartate and asparagine metabolism,84,4,3,5.0256,0.9175,0.98025,0.091964,71,0.71,1,1,1,P56,EC0001;EC0002;EC0005;EC0006
Glycine- serine- alanine and threonine metabolism,74,4,3,5.7436,0.97241,0.99437,0.16565,82,0.82,1,1,1,P70,EC0002;EC0005;EC0006;EC00019
Tyrosine metabolism,107,4,2,5.0256,0.98778,0.99833,0.22106,89,0.89,1,1,1,P75,EC0005;EC0006;EC0008
