"","m.z","p.value","t.score","r.t"
"1",177.03954,2.50022e-12,-6.26,30.068
"2",179.05501,4.39104e-12,-6.03,30.086
"3",179.05503,1.3197e-11,-5.22,30.057
"4",353.0358,7.29448e-11,-5.1,30.108
"5",211.08151,8.40402e-11,-5.3,30.048
"6",328.15066,3.02188e-10,-5.85,30.049
"7",243.06133,2.29775e-09,-4.77,30.073
"8",167.01967,2.27718e-08,-7.71,30.073
"9",169.08576,3.69837e-07,-3.72,29.718
"10",196.02496,5.11956e-07,-5.2,30.091
"11",173.00787,4.72104e-06,-3.69,7.711
"12",132.01161,1.03534e-05,1.64,11.327
"13",132.01162,1.40427e-05,2.46,10.696
"14",305.04805,2.40791e-05,2.9,10.64
"15",241.08208,2.4365e-05,1.49,11.334
"16",177.02151,2.50782e-05,2.92,10.643
"17",695.33221,2.73098e-05,-4.74,8.086
"18",407.11725,3.08152e-05,4.1,19.041
"19",124.00603,3.21159e-05,4.53,2.824
"20",96.95948,4.41251e-05,1.75,11.328
"21",101.02319,5.70673e-05,3.31,3.75
"22",117.018,5.98599e-05,4.33,10.657
"23",257.05382,6.14898e-05,2.23,10.675
"24",199.96912,6.20752e-05,3.93,3.05
"25",150.02219,6.99025e-05,3.34,10.426
"26",150.02221,7.25592e-05,2.56,10.704
"27",137.02318,7.60082e-05,3.61,4.037
"28",181.99063,7.79059e-05,3.27,10.38
"29",261.00667,8.81949e-05,2.36,10.66
"30",197.02417,9.26632e-05,3.77,4.139
"31",219.02915,0.00010639,3.92,10.416
"32",219.0293,0.000109507,3.88,19.056
"33",243.06131,0.00011463,1.82,11.331
"34",433.11275,0.000118792,2.03,10.683
"35",442.11711,0.000124812,2.8,21.278
"36",225.0871,0.000125875,2.01,10.643
"37",210.02746,0.000129326,3.94,19.047
"38",157.00554,0.000144946,4.22,4.152
"39",192.06543,0.00014821,2.56,10.648
"40",236.97648,0.000150793,3.82,19.041
"41",135.0651,0.000165913,2.55,3.777
"42",218.10237,0.00016721,3.97,19.041
"43",131.00916,0.000177266,2.35,10.659
"44",131.00916,0.000177493,3.39,12.528
"45",155.00985,0.000201973,1.41,11.32
"46",155.00985,0.000202775,3.1,10.391
"47",146.04461,0.000215283,-6.03,29.746
"48",213.14861,0.00024814,2.74,21.27
"49",315.07286,0.00024816,1.87,11.318
"50",253.1436,0.000252255,3.1,21.271
"51",284.03405,0.000256421,2.69,3.818
"52",302.13503,0.000276009,1.95,10.645
"53",324.97814,0.000290459,3.55,10.408
"54",324.09284,0.000339415,2.56,3.764
"55",308.098,0.000387664,3.62,11.316
"56",220.08192,0.000400452,4.13,2.503
"57",300.04821,0.000418191,3.28,10.416
"58",300.04821,0.000450564,2.98,15.717
"59",156.06539,0.000466024,-3.13,7.987
"60",174.03952,0.000489778,3.37,4.109
"61",130.04969,0.000494051,2.36,2.834
"62",187.07123,0.000549326,3.06,4.083
"63",288.03368,0.000556285,2.09,21.275
"64",214.90735,0.000559216,1.93,4.104
"65",214.90744,0.000654483,1.97,4.109
"66",239.02196,0.000681067,2.34,12.483
"67",131.03375,0.00069445,1.26,4.232
"68",193.07079,0.000772232,3.24,19.052
"69",94.98046,0.000773123,-6.05,30.105
"70",121.04942,0.000803865,1.87,4.111
"71",297.04625,0.000820142,2.92,15.712
"72",199.01671,0.000857891,1.49,11.352
"73",199.01678,0.000863178,2.06,11.332
"74",343.12378,0.000881585,-4.37,30.103
"75",135.02856,0.000881737,2.9,2.909
"76",135.02859,0.000893756,3.32,19.048
"77",269.05071,0.000926027,1.08,11.284
"78",269.05076,0.000959868,2.38,12.443
"79",146.04462,0.000980435,1.86,10.662
"80",132.02895,0.001039645,-4.83,30.131
"81",132.02895,0.001066579,2.21,11.318
"82",89.02398,0.001095763,-0.77,1.506
"83",133.01283,0.001108515,2.85,11.321
"84",133.01502,0.001175797,4.97,7.484
"85",151.05999,0.001179793,2.31,12.426
"86",370.13958,0.001190648,-3.68,7.968
"87",165.01816,0.001204166,5.65,4.079
"88",312.17121,0.001231834,2.99,4.382
"89",347.03907,0.00125334,2.42,11.177
"90",178.04977,0.001317489,2.05,4.126
"91",129.09083,0.001566545,2.64,21.26
"92",168.98975,0.001769386,1.92,11.334
"93",168.98976,0.00180268,4.04,4.063
"94",171.00521,0.001827587,2.81,11.437
"95",113.02313,0.001865612,-3.98,7.975
"96",129.01805,0.001916307,2.23,4.11
"97",259.02151,0.001947919,5.76,7.367
"98",259.02154,0.00200344,3.13,11.96
"99",217.08195,0.002060385,2.05,13.37
"100",195.04987,0.002060917,2.23,10.614
