"m.z"	"p.value"	"t.score"	"r.t"
177.03954	2.4358E-07	4.17	21.278
179.05501	2.69459E-07	4.33	10.643
179.05503	2.70918E-07	4.26	10.64
353.0358	5.47575E-07	5.49	19.041
211.08151	5.83646E-07	5.72	4.152
328.15066	6.09368E-07	4.06	21.27
243.06133	9.80664E-07	3.67	10.66
167.01967	1.03661E-06	6.46	19.041
169.08576	1.13541E-06	6.13	19.047
196.02496	1.43214E-06	2.97	4.109
173.00787	1.43849E-06	4.78	4.109
132.01161	1.45846E-06	5.16	3.05
132.01162	1.67538E-06	3.8	21.26
305.04805	1.87357E-06	2.46	4.104
241.08208	2.09295E-06	1.64	4.099
177.02151	2.16484E-06	4.47	4.037
695.33221	2.24411E-06	2.52	4.111
407.11725	2.73739E-06	5.66	2.824
124.00603	2.75407E-06	2.04	11.352
96.95948	2.86797E-06	3.43	3.764
101.02319	2.92366E-06	4.42	21.271
117.018	3.21698E-06	5.14	10.408
257.05382	3.44307E-06	5.24	19.041
199.96912	3.63566E-06	2.7	4.126
150.02219	4.03672E-06	1.57	11.327
150.02221	4.42921E-06	5.09	19.056
137.02318	4.59853E-06	1.44	11.334
181.99063	6.08189E-06	2.91	10.659
261.00667	6.33652E-06	4.11	4.139
197.02417	6.88942E-06	1.62	11.32
219.02915	7.74999E-06	5.12	19.052
219.0293	8.1975E-06	3.02	10.662
243.06131	8.41911E-06	3.37	10.648
433.11275	9.90349E-06	3.03	2.834
442.11711	1.02295E-05	3.15	12.521
225.0871	1.25617E-05	2.85	13.37
210.02746	1.32528E-05	1.67	11.284
157.00554	1.45553E-05	4.29	10.416
192.06543	1.47876E-05	1.7	4.172
236.97648	1.49037E-05	3.29	3.75
135.0651	2.21671E-05	2.35	3.777
218.10237	2.31107E-05	3.62	10.391
131.00916	2.47962E-05	2.47	10.645
131.00916	2.62718E-05	2.6	10.704
155.00985	2.67119E-05	1.3	4.232
155.00985	2.67279E-05	3.22	2.909
146.04461	2.7337E-05	2.62	1.623
213.14861	2.87286E-05	3.11	12.528
315.07286	2.89084E-05	4.32	10.416
253.1436	3.03837E-05	3.36	15.712
284.03405	3.14738E-05	3.38	3.498
302.13503	3.56862E-05	1.91	11.318
324.97814	3.69533E-05	1.69	4.161
324.09284	3.95255E-05	3.34	10.426
308.098	3.99287E-05	3.36	2.853
220.08192	4.03824E-05	3.87	2.503
300.04821	4.72666E-05	2.08	11.184
300.04821	5.6597E-05	3.08	10.38
156.06539	5.95705E-05	2.72	12.443
