"m.z"	"p.value"	"t.score"	"r.t"
177.03954	8.26805E-12	5.61	30.068
179.05501	1.70397E-11	5.25	30.086
179.05503	5.69771E-11	4.44	30.057
353.0358	2.94362E-10	4.32	30.108
211.08151	3.14394E-10	4.52	30.048
328.15066	1.05403E-09	5.06	30.049
243.06133	1.23688E-08	3.98	30.073
167.01967	2.79716E-08	7.85	30.073
169.08576	3.64639E-07	-4.05	29.506
196.02496	1.10896E-06	3.44	29.718
173.00787	2.23249E-06	4.42	30.091
132.01161	0.000183879	-4.81	7.278
132.01162	0.000192538	-5.96	7.484
305.04805	0.000596583	5.67	29.786
241.08208	0.001098645	-5.04	29.62
177.02151	0.001585208	0.96	4.099
695.33221	0.00190273	1.07	4.172
407.11725	0.002215126	5.27	30.105
124.00603	0.002231328	-1.64	7.421
96.95948	0.003202936	1	4.203
101.02319	0.003932333	3.58	30.103
117.018	0.003950255	4.05	30.131
257.05382	0.004032993	-1.15	7.577
199.96912	0.005091214	3.84	29.746
150.02219	0.006248167	2.04	10.66
150.02221	0.006647375	1.98	10.643
137.02318	0.006786158	1.94	10.64
181.99063	0.006824392	-3.49	7.329
261.00667	0.00818479	0.87	4.161
197.02417	0.008338235	0.9	4.126
219.02915	0.009444037	-1.78	7.266
219.0293	0.010186646	1.66	4.109
243.06131	0.012228885	2.23	4.152
433.11275	0.013047889	-2.63	4.761
442.11711	0.015060093	1.42	4.109
225.0871	0.016844094	-2.14	4.768
210.02746	0.017606362	1.19	21.278
157.00554	0.017615203	-1.52	7.266
192.06543	0.018708392	1.02	4.104
236.97648	0.019538962	0.84	11.352
135.0651	0.019756956	-1.5	7.58
218.10237	0.020180155	0.99	4.111
131.00916	0.02071011	1.14	4.126
131.00916	0.022725799	-2.27	4.789
155.00985	0.025365425	1.53	10.662
155.00985	0.026225301	1.05	10.428
146.04461	0.027029957	-1.54	7.493
213.14861	0.027793022	1.21	10.412
315.07286	0.029085773	-1.53	7.431
253.1436	0.029751431	1.08	21.27
284.03405	0.030490302	-2.52	7.47
302.13503	0.031246376	0.94	9.892
324.97814	0.031380063	0.78	11.175
324.09284	0.033601536	0.86	4.161
308.098	0.037179555	-2.15	4.791
220.08192	0.038083152	0.77	1.539
300.04821	0.039227963	-2.67	4.787
300.04821	0.039285413	-1.29	7.244
156.06539	0.040346603	-1.48	4.777
174.03952	0.044368596	-1.21	7.099
130.04969	0.045319789	-2.02	4.747
187.07123	0.045842103	-1.9	4.814
288.03368	0.046286188	-2.08	4.784
214.90735	0.046855357	0.76	11.284
214.90744	0.047405805	-0.7	14.82
239.02196	0.047620536	0.81	3.827
131.03375	0.04801442	0.55	11.32
193.07079	0.049409184	-1.95	4.775
94.98046	0.050267087	-1.47	4.798
121.04942	0.053456461	-1.78	4.788
297.04625	0.054476646	0.98	21.26
199.01671	0.054694387	-0.87	7.163
199.01678	0.054991914	-1.94	4.769
343.12378	0.055015036	0.23	1.505
135.02856	0.055055072	-2.2	4.791
135.02859	0.055428122	-2.54	4.805
269.05071	0.056296742	5.35	29.783
269.05076	0.057026558	0.69	7.93
146.04462	0.057198181	-1.75	4.793
132.02895	0.057285615	-2.38	4.785
132.02895	0.057833639	-3	4.832
89.02398	0.059257063	-2.93	4.85
133.01283	0.062336123	0.57	11.36
133.01502	0.063499993	0.46	4.232
151.05999	0.065027742	-1.97	4.779
370.13958	0.066126364	-2.44	4.803
165.01816	0.066667117	-1.91	7.326
312.17121	0.066669401	0.99	10.659
347.03907	0.06742783	-2.11	4.782
178.04977	0.069486455	1.41	1.671
129.09083	0.069944841	1.52	10.074
168.98975	0.07063946	-2.2	4.776
168.98976	0.072120739	-1.44	4.779
171.00521	0.07252408	-1.44	4.774
113.02313	0.072847706	-2.78	4.803
129.01805	0.076449247	-1.45	4.764
259.02151	0.077808498	0.98	3.764
259.02154	0.078874024	0.83	9.924
217.08195	0.080110495	-1.15	7.485
195.04987	0.080927704	-1.7	4.79
263.03374	0.080932565	-2.56	4.773
275.06419	0.080962104	-2.53	4.752
275.06431	0.081247006	1.79	7.968
247.03117	0.082220634	-1.89	4.805
387.11102	0.083725446	1.93	10.083
285.04488	0.085429297	-2.12	4.781
245.04247	0.085448937	0.6	7.907
245.0425	0.087454341	-1.68	4.778
147.0301	0.087797344	-1.5	7.103
149.04445	0.089360982	-1.94	4.762
181.07054	0.089644334	1.43	10.648
386.99986	0.090035657	-2.63	4.801
289.03229	0.091255092	-2.19	4.798
229.01112	0.092216376	-3.56	7.363
338.98784	0.095107785	0.9	11.47
259.0215	0.099173558	-2.12	4.799
259.02157	0.100779165	-2.26	4.821
89.02357	0.102813896	1.99	1.626
181.04946	0.103680482	-0.84	12.45
174.07599	0.105141575	1.34	1.624
379.08214	0.108852159	-2.88	4.805
390.13023	0.109691087	1.68	10.285
89.02411	0.109693318	-1.46	4.787
161.1171	0.110757647	-1.14	14.82
147.06501	0.111302807	-1.05	8.177
183.02636	0.112763778	1.06	10.645
201.14843	0.115139104	0.72	11.345
258.03736	0.115240343	-3.07	4.698
209.02922	0.11999279	-2.13	4.813
613.13985	0.120301751	-1.41	4.811
322.04379	0.12032057	-2.84	7.453
178.01677	0.121900775	0.61	1.696
525.06962	0.122441829	0.84	1.626
309.16994	0.123145383	0.87	11.184
249.02112	0.125489863	-1.51	4.782
399.04553	0.126135376	-2.34	4.773
229.06914	0.130058491	-2.71	4.806
217.01497	0.130168787	1.5	8.226
254.98074	0.135537722	0.35	7.879
346.05494	0.136138841	-1.43	7.155
665.21373	0.137106673	-2.4	7.353
199.06127	0.145212872	-1.43	4.753
426.02144	0.14567155	1.23	10.097
134.04596	0.147991362	1.1	4.037
300.03869	0.148260475	1.2	21.271
368.03698	0.152319405	0.2	1.506
215.06628	0.152363524	-0.73	4.773
186.11239	0.152771711	0.49	7.918
221.06589	0.153797735	-2.48	4.773
241.01099	0.15416058	-1.05	4.788
290.96695	0.154381913	-1.58	4.789
204.06551	0.154963368	1.2	10.074
130.04968	0.155335229	1.5	4.679
143.03374	0.156484688	2.77	26.195
165.09082	0.157570991	0.58	1.696
128.03401	0.159920975	1.87	19.041
262.0925	0.160874284	0.43	1.623
121.02819	0.162164345	0.42	1.617
159.00938	0.162796933	0.65	7.888
247.05829	0.164747673	1.19	12.521
628.01541	0.167242428	1.16	10.121
265.0294	0.168891168	-1.93	7.382
278.99754	0.172380909	-1.17	7.6
231.09769	0.172391849	-1.42	4.819
144.06535	0.174136688	0.71	7.9
526.08727	0.177647153	0.77	7.903
184.99031	0.177998604	-2.26	7.568
253.09217	0.180057746	1.32	10.089
161.04435	0.180562718	1.01	10.429
161.04436	0.183033958	-2.49	4.774
117.05442	0.18469357	-1.79	7.178
267.07137	0.188196196	-0.45	7.745
346.05497	0.188613558	0.36	7.936
236.98703	0.190522842	0.66	10.416
159.06504	0.191735478	0.36	7.897
203.05494	0.192290669	1.83	10.564
145.04937	0.194749676	-1.35	4.786
117.05442	0.201202474	0.43	1.65
227.0664	0.201765426	0.38	11.324
220.02583	0.202194913	-2.34	4.753
215.03175	0.202398841	0.89	7.908
215.03178	0.203198919	-2.67	4.805
135.00457	0.204151326	0.39	7.906
135.00458	0.205453739	1.02	3.953
160.06029	0.207174853	0.36	3.893
214.04753	0.207993086	0.36	11.318
176.95139	0.20964002	0.84	1.598
145.12213	0.209920261	-1.99	7.121
188.9504	0.210146667	-1.27	7.955
302.89364	0.212163515	-1.35	7.367
152.99997	0.214375296	0.56	7.953
133.04937	0.217445668	-1.31	7.2
205.10702	0.218376282	-1.78	7.189
158.08101	0.218707988	1.26	10.614
273.03736	0.219306309	-0.79	7.328
333.05846	0.21943953	-2.18	4.778
333.05855	0.219751802	-1.73	4.77
163.06006	0.221788681	0.88	1.664
119.03435	0.222638607	-1.02	7.323
333.0584	0.225003984	1.62	19.047
333.05852	0.226233764	-1.32	7.161
333.05853	0.226951561	-2.65	4.785
395.07625	0.227535306	0.65	7.92
177.07566	0.228740686	0.24	1.628
128.0171	0.234524043	1.13	1.638
128.01711	0.234581082	0.28	11.327
128.01711	0.235491928	0.58	7.941
275.07411	0.238928823	1.37	4.119
320.06152	0.239355233	-0.94	7.176
693.33529	0.244248984	-0.6	7.328
209.06579	0.244794292	0.77	1.616
304.9908	0.246444667	1.02	1.641
290.08746	0.246808904	0.78	1.664
363.15727	0.247333861	1.19	1.617
188.09171	0.247628647	-1.18	4.759
591.36856	0.247995792	-2.42	4.773
96.96813	0.248685524	0.47	1.596
96.95892	0.249783138	0.91	1.632
96.96868	0.250298733	-1.59	7.148
176.93458	0.252132776	1.19	3.845
94.97935	0.253030972	1.06	1.665
212.50675	0.253255893	1.44	4.943
114.01838	0.255200669	0.5	1.675
292.92257	0.25546861	0.29	11.325
157.03545	0.255697107	0.79	1.669
292.92256	0.256593144	1.19	11.789
216.90835	0.257047739	1.17	3.473
176.94816	0.258256613	0.56	4.69
232.92373	0.258447493	0.65	1.551
97.02828	0.259930355	0.43	1.635
89.02303	0.261068704	-0.72	7.569
110.98402	0.261396367	-1.03	14.792
152.01788	0.262373969	-1.62	8.189
153.01435	0.262984914	1.18	1.616
129.01347	0.263000022	0.51	1.598
127.01786	0.263031665	0.29	1.516
131.03375	0.265175301	0.44	1.543
109.0073	0.265358185	0.81	8.257
140.91617	0.267114429	-1.66	4.789
152.01787	0.267638188	1.43	9.708
153.01433	0.267841329	0.8	1.637
151.01871	0.268217952	-1.83	4.791
149.02293	0.270198548	0.5	13.37
105.01586	0.27065415	0.65	1.574
131.01234	0.27109936	2.4	15.712
130.01599	0.271540248	-2.33	8.128
109.00729	0.272227789	5.73	14.787
96.96954	0.275713551	0.63	11.173
129.01347	0.276713011	0.44	1.561
129.01346	0.277291907	-1.01	7.155
148.02653	0.278107259	0.6	1.623
119.03374	0.278650373	0.47	1.627
193.97792	0.280737422	0.18	1.608
193.03005	0.280978217	0.8	1.655
194.02925	0.281890591	0.94	9.907
154.01346	0.284048824	-1.02	7.138
236.91521	0.285528976	0.64	12.091
173.02062	0.287345	-1.15	7.187
140.9746	0.288052268	0.73	7.211
142.97163	0.288414927	-1.42	7.104
222.02151	0.290436923	2.56	1.625
165.03925	0.290951646	0.21	1.602
91.03886	0.291500472	0.25	11.334
98.95448	0.294883165	-0.75	7.169
172.02426	0.296038814	1.76	10.076
126.02148	0.296315835	0.63	4.714
221.02229	0.296475169	0.6	4.117
195.02571	0.299830932	1.79	1.84
173.00338	0.300451435	-1.01	7.134
154.01347	0.301149235	0.17	1.649
197.02144	0.302156838	-1.69	4.682
241.0285	0.302528372	0.93	4.695
217.03376	0.304066213	0.9	3.871
104.01959	0.304881317	-3.42	7.457
154.99277	0.305645403	0.34	3.924
96.96007	0.305705134	-1.49	7.174
127.01785	0.305852952	0.84	1.571
126.00182	0.307658895	0.84	16.439
173.95632	0.308571622	1.27	10.572
189.03928	0.308584133	-0.68	14.821
234.91946	0.309444561	-2.65	8.135
192.03357	0.309864356	0.21	14.978
154.99282	0.313224717	0.11	1.653
219.02661	0.316314387	0.97	1.781
111.00287	0.31764283	-1	8.253
175.01948	0.318218516	-1.62	6.963
133.00804	0.318897081	0.11	1.629
96.96843	0.319570058	0.94	1.786
119.03374	0.322177906	-1.22	7.363
216.92745	0.322423387	-1.68	7.153
97.00301	0.325590828	0.34	8.041
193.97794	0.326818382	0.17	1.68
171.00519	0.327832667	0.31	11.331
204.99287	0.329355244	0.43	1.597
216.92744	0.330260887	-1.57	8.207
164.01053	0.330411399	0.83	3.243
140.91804	0.331191124	0.63	4.705
87.9714	0.331300283	0.17	1.634
163.02366	0.331369524	1.21	10.408
197.0214	0.332099735	-1.37	4.766
96.96846	0.333807977	0.96	10.08
111.01868	0.334902412	-1.32	7.146
165.07576	0.336207125	0.34	1.503
100.96835	0.336248529	0.5	7.939
240.03209	0.339734221	0.53	1.627
175.01621	0.341268848	0.54	1.605
110.00653	0.342609734	-0.86	8.207
154.99498	0.343761498	0.84	7.949
129.05442	0.345876076	-1.61	7.189
330.87855	0.346144402	0.67	3.681
153.99643	0.346698121	0.56	1.9
203.99654	0.34743602	0.74	1.591
149.02568	0.348370209	0.29	1.629
198.02066	0.348691842	1.12	2.813
133.99046	0.348959543	-1.49	8.203
223.01794	0.349744581	0.99	10.083
89.96843	0.351615369	0.26	11.334
124.99011	0.351733488	0.64	1.67
125.02317	0.352026086	0.98	10.067
199.01843	0.352426953	0.42	8.016
301.98178	0.354530141	0.95	10.075
193.03281	0.355614979	0.69	1.642
171.00527	0.356040898	1.17	1.635
175.01619	0.358569605	0.92	11.96
174.02298	0.358616668	0.71	19.04
107.01166	0.359223746	0.85	12.861
186.96376	0.360043735	-0.71	7.361
134.97186	0.363443997	0.61	1.603
135.94382	0.363703511	0.37	7.925
118.95033	0.364229326	0.55	7.896
195.92563	0.364553881	0.88	1.62
148.02654	0.365408469	0.18	1.695
154.91747	0.366165596	-1.33	7.155
175.01612	0.366250105	-1.64	7.132
132.0402	0.366574865	3.6	9.836
186.98476	0.367097047	0.53	1.62
96.98336	0.367299873	-1.17	7.165
119.07019	0.367399134	0.51	3.755
114.02963	0.370968944	0.96	10.085
91.02729	0.37132825	0.67	4.685
149.04432	0.374773413	0.55	1.587
136.96088	0.375184292	1.5	8.126
330.87856	0.377261171	0.65	4.477
166.97845	0.377766844	0.48	1.632
173.02067	0.379851966	0.32	16.423
198.9168	0.382276337	1.71	1.631
208.9458	0.38312707	-1.96	4.898
512.82244	0.384631201	0.65	7.922
146.96468	0.384631993	-0.97	7.465
125.00939	0.385781711	0.55	3.702
149.04175	0.385953114	-1.2	8.101
105.01805	0.387319738	-1.51	7.125
123.94803	0.388110693	0.68	1.568
153.99646	0.389685625	0.68	3.64
194.93666	0.390329184	0.66	1.573
134.00729	0.390702644	0.85	3.279
510.85871	0.391317646	0.72	3.277
116.96129	0.393818842	-1.54	8.166
154.94612	0.395576425	0.46	9.725
