"m.z"	"p.value"	"t.score"	"r.t"
177.03954	2.50022E-12	-6.26	30.068
179.05501	4.39104E-12	-6.03	30.086
179.05503	1.3197E-11	-5.22	30.057
353.0358	7.29448E-11	-5.1	30.108
211.08151	8.40402E-11	-5.3	30.048
328.15066	3.02188E-10	-5.85	30.049
243.06133	2.29775E-09	-4.77	30.073
167.01967	2.27718E-08	-7.71	30.073
169.08576	3.69837E-07	-3.72	29.718
196.02496	5.11956E-07	-5.2	30.091
173.00787	4.72104E-06	-3.69	7.711
132.01161	1.03534E-05	1.64	11.327
132.01162	1.40427E-05	2.46	10.696
305.04805	2.40791E-05	2.9	10.64
241.08208	2.4365E-05	1.49	11.334
177.02151	2.50782E-05	2.92	10.643
695.33221	2.73098E-05	-4.74	8.086
407.11725	3.08152E-05	4.1	19.041
124.00603	3.21159E-05	4.53	2.824
96.95948	4.41251E-05	1.75	11.328
101.02319	5.70673E-05	3.31	3.75
117.018	5.98599E-05	4.33	10.657
257.05382	6.14898E-05	2.23	10.675
199.96912	6.20752E-05	3.93	3.05
150.02219	6.99025E-05	3.34	10.426
150.02221	7.25592E-05	2.56	10.704
137.02318	7.60082E-05	3.61	4.037
181.99063	7.79059E-05	3.27	10.38
261.00667	8.81949E-05	2.36	10.66
197.02417	9.26632E-05	3.77	4.139
219.02915	0.00010639	3.92	10.416
219.0293	0.000109507	3.88	19.056
243.06131	0.00011463	1.82	11.331
433.11275	0.000118792	2.03	10.683
442.11711	0.000124812	2.8	21.278
225.0871	0.000125875	2.01	10.643
210.02746	0.000129326	3.94	19.047
157.00554	0.000144946	4.22	4.152
192.06543	0.00014821	2.56	10.648
236.97648	0.000150793	3.82	19.041
135.0651	0.000165913	2.55	3.777
218.10237	0.00016721	3.97	19.041
131.00916	0.000177266	2.35	10.659
131.00916	0.000177493	3.39	12.528
155.00985	0.000201973	1.41	11.32
155.00985	0.000202775	3.1	10.391
146.04461	0.000215283	-6.03	29.746
213.14861	0.00024814	2.74	21.27
315.07286	0.00024816	1.87	11.318
253.1436	0.000252255	3.1	21.271
284.03405	0.000256421	2.69	3.818
302.13503	0.000276009	1.95	10.645
324.97814	0.000290459	3.55	10.408
324.09284	0.000339415	2.56	3.764
308.098	0.000387664	3.62	11.316
220.08192	0.000400452	4.13	2.503
300.04821	0.000418191	3.28	10.416
300.04821	0.000450564	2.98	15.717
