"mz","rt","t.score","p.value","mode"
52.99813,1202.7,1.4439,0.165,"positive"
53.00038,1295.16,2.474,0.0193,"positive"
53.00228,1291.68,2.7635,0.0094,"positive"
53.00296,1273.08,3.1435,0.0037,"positive"
53.00432,1264.08,2.7164,0.0106,"positive"
59.04659,1076.76,2.1416,0.042,"positive"
59.04682,1106.76,0.9601,0.3477,"positive"
59.04705,992.94,1.3661,0.1827,"positive"
59.04716,871.5,1.6124,0.1168,"positive"
59.04739,1259.94,0.2004,0.8432,"positive"
59.04752,1129.98,0.5856,0.5635,"positive"
59.04757,677.64,0.2032,0.8408,"positive"
59.04778,1002.6,0.1681,0.8682,"positive"
59.048,1302.06,2.0595,0.0483,"positive"
59.04802,968.1,0.2093,0.8358,"positive"
59.04805,1184.76,0.852,0.402,"positive"
59.04829,1122.66,0.2977,0.7684,"positive"
59.04842,865.98,0.387,0.7017,"positive"
59.04854,1069.5,0.8101,0.428,"positive"
59.04856,1033.62,1.0973,0.2836,"positive"
59.04857,1224.06,-0.3049,0.764,"positive"
59.04858,1325.52,-0.3501,0.7293,"positive"
59.0486,931.5,1.179,0.2489,"positive"
59.04863,1373.1,2.801,0.0086,"positive"
59.04866,369.18,0.7561,0.4558,"positive"
59.04883,653.46,2.6095,0.0139,"positive"
59.04887,64.26,-1.4116,0.1775,"positive"
59.04893,1064.7,3.1693,0.0049,"positive"
59.04919,1334.46,-0.1393,0.8901,"positive"
59.04928,1188.18,0.5725,0.5724,"positive"
59.04931,1363.08,1.843,0.0751,"positive"
59.04933,988.08,-0.9841,0.3373,"positive"
59.04935,1119.18,-0.2441,0.8095,"positive"
59.04938,1622.52,1.8023,0.0814,"positive"
59.04948,1081.26,2.0351,0.0533,"positive"
59.04951,1092.3,1.4629,0.1585,"positive"
59.04954,881.52,0.2927,0.7721,"positive"
59.04972,1266.84,-0.014,0.989,"positive"
59.0498,431.28,1.5145,0.1413,"positive"
59.04987,939.78,0.3259,0.7472,"positive"
