"m.z"	"p.value"	"t.score"	"r.t"
177.0394	0.198461760704729	0.7	1.647
177.03958	0.198461760704729	0.7	1.63
177.0395	0.198461760704729	0.7	1.6180000000000001
177.03965	0.198461760704729	0.7	1.6359999999999999
177.03959	0.198461760704729	0.7	1.629
177.03987	0.198461760704729	0.7	1.6279999999999999
179.05501	0.233430384714862	0.68	3.6709999999999998
179.05507	0.068831688062994	1.49	1.613
179.05501	0.068831688062994	1.49	1.627
179.05506	0.068831688062994	1.49	1.615
179.05505	0.068831688062994	1.49	1.619
179.05509	0.068831688062994	1.49	1.6439999999999999
179.05501	0.068831688062994	1.49	1.6140000000000001
179.05503	0.068831688062994	1.49	1.595
179.055	0.068831688062994	1.49	1.617
179.05501	0.068831688062994	1.49	1.6120000000000001
179.05498	0.068831688062994	1.49	1.607
179.05495	0.068831688062994	1.49	1.5960000000000001
179.055	0.068831688062994	1.49	1.601
179.05498	0.068831688062994	1.49	1.59
179.05495	0.068831688062994	1.49	1.595
179.05496	0.068831688062994	1.49	1.6140000000000001
179.05498	0.068831688062994	1.49	1.591
179.05497	0.068831688062994	1.49	1.605
179.05496	0.068831688062994	1.49	1.603
179.05518	0.068831688062994	1.49	1.61
179.05525	0.068831688062994	1.49	1.587
395.07625	0.758917590106518	0.82	1.6339999999999999
353.03572	0.12692473094998	-1.51	4.7329999999999997
353.03594	0.12692473094998	-1.51	4.7149999999999999
211.08158	0.0761325659565679	-2.44	1.6
211.08139	0.0761325659565679	-2.44	1.611
211.08141	0.0761325659565679	-2.44	1.601
328.15062	0.13110385920376	0.6	3.673
328.15068	0.13110385920376	0.6	3.69
328.15062	0.13110385920376	0.6	3.7050000000000001
328.15071	0.13110385920376	0.6	3.6920000000000002
328.1508	0.13110385920376	0.6	3.6909999999999998
328.15056	0.13110385920376	0.6	3.7250000000000001
243.0613	0.158482709568518	1.41	8.2620000000000005
243.06131	0.158482709568518	1.41	8.3070000000000004
243.06134	0.158482709568518	1.41	8.2690000000000001
243.06134	0.158482709568518	1.41	8.3170000000000002
243.06133	0.158482709568518	1.41	8.2569999999999997
243.06133	0.158482709568518	1.41	8.2149999999999999
243.06133	0.158482709568518	1.41	8.2260000000000009
243.0613	0.158482709568518	1.41	8.2840000000000007
243.06133	0.158482709568518	1.41	8.2230000000000008
243.06131	0.158482709568518	1.41	8.2479999999999993
243.06136	0.158482709568518	1.41	8.2360000000000007
243.06136	0.158482709568518	1.41	8.2639999999999993
243.06137	0.158482709568518	1.41	8.1929999999999996
243.06131	0.158482709568518	1.41	8.2249999999999996
243.06133	0.158482709568518	1.41	8.1929999999999996
243.06133	0.158482709568518	1.41	8.2230000000000008
167.01964	0.0155360640448414	2	16.16
167.01964	0.0155360640448414	2	16.175999999999998
167.01963	0.0155360640448414	2	16.149000000000001
167.01963	0.0155360640448414	2	16.170000000000002
167.01969	0.0155360640448414	2	16.166
167.01973	0.0155360640448414	2	16.164000000000001
167.01972	0.0155360640448414	2	16.190999999999999
167.0197	0.0155360640448414	2	16.190000000000001
167.01965	0.0155360640448414	2	16.18
167.01969	0.0155360640448414	2	16.173999999999999
167.01969	0.0155360640448414	2	16.193000000000001
167.0197	0.0155360640448414	2	16.181999999999999
167.01972	0.0155360640448414	2	16.190999999999999
167.01972	0.0155360640448414	2	16.184999999999999
167.01973	0.0155360640448414	2	16.186
167.02047	0.0155360640448414	2	16.169
167.01969	0.0155360640448414	2	16.170000000000002
169.08576	0.933391998603173	0.07	5.1219999999999999
196.02495	0.200610348954876	0.65	7.1719999999999997
196.02498	0.200610348954876	0.65	7.1020000000000003
196.02497	0.200610348954876	0.65	7.0449999999999999
196.02493	0.200610348954876	0.65	7.1219999999999999
196.02496	0.200610348954876	0.65	7.3159999999999998
196.02497	0.200610348954876	0.65	7.2569999999999997
196.02496	0.200610348954876	0.65	7.2480000000000002
196.02493	0.200610348954876	0.65	7.0949999999999998
196.02496	0.200610348954876	0.65	7.1280000000000001
173.00787	0.043074836168724	2.85	17.282
173.00786	0.043074836168724	2.85	17.277999999999999
173.00786	0.043074836168724	2.85	17.289000000000001
173.00786	0.043074836168724	2.85	17.280999999999999
173.00786	0.043074836168724	2.85	17.283999999999999
173.00789	0.043074836168724	2.85	17.291
173.00787	0.043074836168724	2.85	17.28
173.00786	0.043074836168724	2.85	17.306000000000001
173.00786	0.043074836168724	2.85	17.292999999999999
173.00786	0.043074836168724	2.85	17.285
173.00786	0.043074836168724	2.85	17.285
173.00783	0.043074836168724	2.85	17.306999999999999
132.01161	1.45846074006695e-06	5.16	7.0789999999999997
132.01158	1.45846074006695e-06	5.16	7.1779999999999999
132.01163	1.45846074006695e-06	5.16	7.09
132.01164	1.45846074006695e-06	5.16	7.0839999999999996
132.01163	1.45846074006695e-06	5.16	7.0860000000000003
132.01222	1.45846074006695e-06	5.16	7.0679999999999996
132.01161	0.107878019835303	1.01	7.335
305.04805	0.99050390660013	-0.04	7.1970000000000001
241.08208	0.0246921464892558	1.67	6.9210000000000003
241.08203	0.0246921464892558	1.67	6.9370000000000003
241.08211	0.0246921464892558	1.67	6.9080000000000004
241.08217	0.0246921464892558	1.67	6.944
177.02152	0.062828551840347	1.04	6.1639999999999997
177.0215	0.062828551840347	1.04	6.1719999999999997
177.0215	0.062828551840347	1.04	6.165
177.02152	0.062828551840347	1.04	6.1829999999999998
177.02153	0.062828551840347	1.04	6.1440000000000001
177.02153	0.062828551840347	1.04	6.1660000000000004
177.0215	0.062828551840347	1.04	6.1559999999999997
177.02153	0.062828551840347	1.04	6.1449999999999996
177.02152	0.062828551840347	1.04	6.1550000000000002
695.3322	0.999999997124525	0.51	7.8949999999999996
695.33171	0.999999997124525	0.51	7.8609999999999998
695.33238	0.999999997124525	0.51	7.8659999999999997
695.33244	0.999999997124525	0.51	7.9139999999999997
695.33238	0.999999997124525	0.51	7.8220000000000001
407.1172	1.13541459456634e-06	6.13	1.623
407.11751	1.13541459456634e-06	6.13	1.6220000000000001
407.11726	1.13541459456634e-06	6.13	1.623
407.11711	1.13541459456634e-06	6.13	1.661
407.1173	1.13541459456634e-06	6.13	1.706
407.11723	1.13541459456634e-06	6.13	1.625
407.11714	1.13541459456634e-06	6.13	1.6659999999999999
407.11717	1.13541459456634e-06	6.13	1.6890000000000001
